id,nb.boucle,long.boucle
02_023_023,3907500,2
10_102_1022,10000,2
13_131_1311,1000,2
13_139_1391,598000,2
13_139_1393,215000,2
16_164_1641,9518800,2
16_164_1644,830000,2
16_165_165,2500,2
16_168_1681,35200,2
20_203_2031,1429100,2
20_204_2041,250000,2
20_204_2042,2e+05,2
20_205_2051,538600,2
20_208_2088,55000,2
21_211_2111,3590000,2
21_211_2118,168000,2
21_212_2121,50000,2
21_213_2138,583000,2
21_214_2141,12000,2
21_214_2145,320000,2
21_215_2151,15000,2
21_215_2152,253000,2
21_215_2153,198900,2
21_215_2154,102000,2
21_215_2156,21600,2
21_215_2157,338200,2
21_216_2161,62600,2
21_218_2182,746000,2
21_218_2183,960100,2
21_218_2184,119100,2
21_218_2185,2000,2
21_218_2188,117800,2
23_231_2312,15000,2
23_231_2313,6864300,2
23_231_2316,54500,2
23_231_2318,9085500,2
60_602_6021,165000,2
60_602_6022,1221500,2
60_605_605,1643000,2
60_606_6061,3934130,2
60_606_6062,1404280,2
60_606_6063,665963,2
60_606_6064,81437,2
60_606_6066,30500,2
60_606_6067,143700,2
60_606_6068,2179445,2
60_608_608,16500,2
61_611_611,978140,2
61_613_6132,391850,2
61_613_6135,848720,2
61_614_614,87960,2
61_615_6152,1279290,2
61_615_6155,233880,2
61_615_6156,1857182,2
61_616_6161,773100,2
61_617_617,254160,2
61_618_618,112815,2
61_618_6182,87310,2
61_618_6184,334780,2
61_618_6185,2500,2
61_618_6188,248063,2
62_621_6218,3629000,2
62_622_6225,23670,2
62_622_6226,567230,2
62_622_6228,98000,2
62_623_6231,93200,2
62_623_6232,103250,2
62_623_6236,99280,2
62_623_6237,167800,2
62_624_6241,33850,2
62_624_6247,245360,2
62_624_6248,1000,2
62_625_6251,134500,2
62_625_6255,15000,2
62_625_6256,73900,2
62_625_6257,125420,2
62_626_6261,218900,2
62_626_6262,346470,2
62_627_627,61455,2
62_628_6281,69370,2
62_628_6283,198950,2
62_628_6287,193970,2
62_628_6288,808530,2
63_633_6331,640830,2
63_633_6332,187780,2
63_633_6336,363610,2
63_635_6351,487930,2
63_635_6355,4500,2
63_635_6358,34320,2
63_637_6371,242510,2
64_641_6411,40799450,2
64_641_6413,5602370,2
64_641_6414,189700,2
64_641_6416,622500,2
64_641_6417,185000,2
64_645_6451,6826310,2
64_645_6453,10663380,2
64_645_6455,80000,2
64_645_6456,138000,2
64_647_6473,150000,2
64_647_6474,234650,2
64_647_6478,2162600,2
64_648_648,1330,2
64_648_6488,127390,2
65_653_6536,1500,2
65_654_6541,132000,2
65_657_6573,7071200,2
65_657_6574,7558020,2
65_658_658,773000,2
66_661_6611,2845000,2
66_661_6615,1e+05,2
67_671_6713,10000,2
67_671_6714,3000,2
67_671_6718,105015,2
67_673_673,86705,2
67_674_6742,10000,2
67_674_6744,495790,2
67_678_678,32900,2
68_681_6811,11750000,2
69_695_695,20000,2
70_701_7012,1435060,2
70_706_7061,808190,2
73_739_7392,1e+05,2
