id,nom,NbElecteur,NbVotant,PCVotant,NbExprime,PCExprime,NbDroite,PCDroite,NbALJ,PCALJ,NbJFF,PCJFF
1,0001 LALEU,1085,590,54.38,567,96.1,84,14.81,275,48.5,208,36.69
2,0002 LA PALLICE,838,422,50.36,406,96.21,65,16.01,173,42.61,168,41.38
3,0003 SAINT-MAURICE,885,525,59.32,506,96.38,97,19.17,173,34.19,236,46.64
4,0004 SAINT-MAURICE,811,503,62.02,492,97.62,99,20.12,201,40.85,192,39.03
5,0005 PORT-NEUF,984,527,53.56,517,98.1,71,13.73,249,48.16,197,38.11
6,0006 PORT-NEUF,992,468,47.18,451,96.37,41,9.09,241,53.44,169,37.47
7,0007 PORT-NEUF,871,545,62.57,529,97.06,118,22.31,152,28.73,259,48.96
8,0008 LALEU,756,413,54.63,399,96.61,59,14.79,188,47.12,152,38.09
9,0009 LALEU,661,377,57.03,355,94.16,46,12.96,188,52.96,121,34.08
10,0010 LA PASSERELLE,611,302,49.43,298,98.68,53,17.79,136,45.64,109,36.57
11,0011 LA PASSERELLE,616,336,54.55,319,94.94,57,17.87,147,46.08,115,36.05
12,0012 MIREUIL I,638,336,52.66,322,95.83,44,13.66,148,45.96,130,40.38
13,0013 MIREUIL I,727,367,50.48,356,96.74,61,17.13,161,45.22,134,37.65
14,0014 MIREUIL I,895,417,46.59,405,97.12,48,11.85,223,55.06,134,33.09
15,0015 MIREUIL II,707,321,45.4,309,96.26,38,12.3,157,50.81,114,36.89
16,0016 MIREUIL II,1023,403,39.39,388,96.28,74,19.07,206,53.09,108,27.84
17,0017 MIREUIL II,953,379,39.77,371,97.89,41,11.05,183,49.33,147,39.62
18,0018 MIREUIL II,868,500,57.6,479,95.8,74,15.45,184,38.41,221,46.14
19,0019 FETILLY,820,505,61.59,496,97.83,82,16.53,173,34.88,241,48.59
20,0020 FETILLY,908,593,65.31,573,96.63,92,16.06,180,31.41,301,52.53
21,0021 LA GENETTE,913,600,65.72,584,97.33,121,20.72,147,25.17,316,54.11
22,0022 LA GENETTE,984,631,64.13,620,98.26,170,27.42,130,20.97,320,51.61
23,0023 LA GENETTE,941,616,65.46,603,97.73,140,23.22,161,26.7,302,50.08
24,0024 LA GENETTE,917,614,66.96,598,97.39,146,24.41,145,24.25,307,51.34
25,0025 DOR,1226,653,53.26,637,97.55,122,19.15,234,36.73,281,44.12
26,0026 CURE-CRAMPETTE,1127,705,62.56,688,97.59,85,12.35,260,37.79,343,49.86
27,0027 REAUMUR,1047,693,66.19,680,98.12,105,15.44,218,32.06,357,52.5
28,0028 ORATOIRE,872,467,53.56,451,96.37,81,17.96,146,32.37,224,49.67
29,0029 ORATOIRE,947,503,53.12,490,97.61,77,15.71,190,38.78,223,45.51
30,0030 LE PRIEURE,1069,628,58.75,614,97.77,101,16.45,227,36.97,286,46.58
31,0031 LAFOND,996,613,61.55,591,96.41,113,19.12,187,31.64,291,49.24
32,0032 LAFOND,1009,622,61.65,606,97.27,120,19.8,237,39.11,249,41.09
33,0033 ORATOIRE,998,534,53.51,522,97.75,58,11.11,210,40.23,254,48.66
34,0034 ORATOIRE,984,556,56.5,538,96.76,92,17.1,174,32.34,272,50.56
35,0035 REY-VALIN,1075,593,55.16,575,96.96,99,17.22,204,35.48,272,47.3
36,0036 LAVOISIER,663,339,51.13,331,97.64,55,16.62,173,52.27,103,31.11
37,0037 TASDON,758,425,56.07,415,97.65,49,11.81,218,52.53,148,35.66
38,0038 TASDON,1067,660,61.86,633,95.76,66,10.43,289,45.66,278,43.91
39,0039 BONGRAINE,862,477,55.34,449,94.13,42,9.35,256,57.02,151,33.63
40,0040 TECHNOFORUM,924,471,50.97,460,97.66,69,15,144,31.3,247,53.7
41,0041 TECHNOFORUM,1130,614,54.34,600,97.88,119,19.83,218,36.33,263,43.84
42,0042 TECHNOFORUM,1182,591,50,571,96.62,99,17.34,228,39.93,244,42.73
43,0043 BEAUREGARD,817,530,64.87,513,96.79,89,17.35,160,31.19,264,51.46
44,0044 BEAUREGARD,589,344,58.4,341,99.13,71,20.82,123,36.07,147,43.11
45,0045 SAINT-ELOI,1305,740,56.7,715,96.62,130,18.18,280,39.16,305,42.66
46,0046 SAINT-ELOI,1025,591,57.66,565,95.6,84,14.87,212,37.52,269,47.61
47,0047 SAINT-ELOI,1153,659,57.16,638,96.81,97,15.2,239,37.46,302,47.34
48,0048 LAVOISIER,861,472,54.82,459,97.25,56,12.2,213,46.41,190,41.39
49,0049 LAVOISIER,829,529,63.81,503,95.09,58,11.53,234,46.52,211,41.95
50,0050 VILLENEUVE,1186,532,44.86,511,96.05,68,13.31,282,55.19,161,31.5
51,0051 VILLENEUVE,892,445,49.89,426,95.73,41,9.62,256,60.09,129,30.29
52,0052 ANCIENNE GENDARMERIE,788,426,54.06,409,96.24,61,14.91,167,40.83,181,44.26
53,0053 ANCIENNE GENDARMERIE,689,312,45.28,300,96.15,34,11.33,156,52,110,36.67
54,0054 PAUL DOUMER,779,500,64.18,491,98.2,86,17.52,192,39.1,213,43.38
55,0055 LAVOISIER,679,325,47.86,313,96.31,27,8.63,171,54.63,115,36.74
